" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
,"09124 ESPINOSA DE LOS MONTEROS",           6,          29,           3,          27,
,"09125 ESTEPAR",           3,          11,           1,           2,
,"09128 FRANDOVINEZ",           1,           .,           .,           .,
,"09130 FRESNEÑA",           .,           .,           .,           1,
,"09131 FRESNILLO DE LAS DUEÑAS",           1,           3,           .,           2,
,"09132 FRESNO DE RIO TIRON",           1,           2,           1,           3,
,"09133 FRESNO DE RODILLA",           .,           1,           .,           .,
,"09134 FRIAS",           .,           4,           1,           3,
,"09135 FUENTEBUREBA",           .,           .,           .,           1,
,"09136 FUENTECEN",           1,           2,           .,           3,
,"09137 FUENTELCESPED",           .,           2,           .,           1,
,"09138 FUENTELISENDO",           .,           1,           .,           1,
,"09139 FUENTEMOLINOS",           .,           1,           .,           1,
,"09140 FUENTENEBRO",           .,           1,           .,           .,
,"09141 FUENTESPINA",           4,          12,           2,           9,
,"09143 GALBARROS",           .,           .,           .,           2,
,"09144 GALLEGA (LA)",           .,           1,           .,           .,
,"09148 GRIJALBA",           .,           3,           .,           .,
,"09151 GUMIEL DE IZAN",           .,           5,           1,          10,
,"09152 GUMIEL DE MERCADO",           1,           2,           .,           5,
,"09154 HACINAS",           1,           .,           .,           7,
,"09160 HONTANGAS",           .,           1,           .,           .,
,"09162 HONTORIA DE LA CANTERA",           .,           .,           .,           2,
,"09163 HONTORIA DEL PINAR",           .,           8,           .,           9,
,"09164 HONTORIA DE VALDEARADOS",           1,           1,           .,           1,
,"09166 HORMAZAS (LAS)",           .,           1,           .,           .,
,"09168 HORRA (LA)",           1,           6,           .,           3,
,"09169 HORTIGÜELA",           .,           1,           .,           .,
,"09170 HOYALES DE ROA",           .,           3,           1,           4,
,"09173 HUERTA DE ARRIBA",           .,           .,           .,           3,
,"09174 HUERTA DE REY",           .,           9,           1,           6,
,"09175 HUMADA",           .,           .,           .,           2,
,"09176 HURONES",           .,           1,           .,           .,
,"09177 IBEAS DE JUARROS",           2,          16,           2,          11,
,"09180 IGLESIAS",           .,           1,           .,           2,
,"09181 ISAR",           .,           5,           .,           1,
,"09182 ITERO DEL CASTILLO",           .,           1,           .,           .,
,"09184 JARAMILLO QUEMADO",           .,           1,           .,           .,
,"09189 JUNTA DE TRASLALOMA",           .,           1,           .,           .,
,"09190 JUNTA DE VILLALBA DE LOSA",           .,           .,           .,           2,
,"09191 JURISDICCION DE LARA",           1,           .,           1,           .,
,"09192 JURISDICCION DE SAN ZADORNIL",           .,           .,           .,           2,
,"09194 LERMA",           3,          29,           3,          22,
,"09195 LLANO DE BUREBA",           .,           .,           .,           1,
,"09196 MADRIGAL DEL MONTE",           .,           1,           .,           4,
,"09197 MADRIGALEJO DEL MONTE",           1,           2,           .,           2,
,"09199 MAMBRILLA DE CASTREJON",           .,           .,           .,           1,
,"09202 MANCILES",           1,           .,           .,           .,
,"09208 MECERREYES",           .,           .,           .,           2,
,"09209 MEDINA DE POMAR",          17,          58,           4,          48,
,"09211 MELGAR DE FERNAMENTAL",           5,          33,           3,          22,
,"09213 MERINDAD DE CUESTA-URRIA",           .,           5,           .,           4,
,"09214 MERINDAD DE MONTIJA",           1,           6,           .,           3,
,"09215 MERINDAD DE SOTOSCUEVA",           1,           6,           .,           5,
,"09216 MERINDAD DE VALDEPORRES",           .,           4,           .,           6,
,"09217 MERINDAD DE VALDIVIELSO",           .,           5,           .,           5,
,"09218 MILAGROS",           1,           7,           .,           1,
,"09219 MIRANDA DE EBRO",         135,         721,          51,         333,
,"09221 MODUBAR DE LA EMPAREDADA",           .,           4,           2,           4,
,"09223 MONASTERIO DE LA SIERRA",           .,           1,           .,           .,
,"09224 MONASTERIO DE RODILLA",           .,           1,           .,           .,
,"09225 MONCALVILLO",           .,           .,           .,           2,
,"09227 MONTORIO",           .,           1,           .,           .,
,"09228 MORADILLO DE ROA",           .,           2,           .,           1,
,"09229 NAVA DE ROA",           .,           5,           2,           3,
,"09232 NEILA",           .,           .,           .,           5,
,"09235 OLMEDILLO DE ROA",           .,           3,           .,           2,
,"09238 OÑA",           2,           9,           .,          16,
,"09239 OQUILLAS",           .,           1,           .,           .,
,"09241 ORBANEJA RIOPICO",           2,           1,           .,           .,
,"09242 PADILLA DE ABAJO",           .,           .,           .,           2,
,"09243 PADILLA DE ARRIBA",           .,           1,           .,           .,
,"09244 PADRONES DE BUREBA",           .,           .,           .,           1,
,"09246 PALACIOS DE LA SIERRA",           .,           8,           .,          15,
,"09248 PALAZUELOS DE LA SIERRA",           .,           .,           1,           1,
,"09249 PALAZUELOS DE MUÑO",           .,           .,           .,           1,
,"09250 PAMPLIEGA",           .,           3,           .,           6,
,"09251 PANCORBO",           2,           6,           .,           3,
,"09253 PARDILLA",           .,           2,           .,           3,
,"09256 PEDROSA DE DUERO",           .,           6,           .,           1,
,"09257 PEDROSA DEL PARAMO",           .,           1,           .,           1,
